"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"3",1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"4",1,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3
"5",1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3
"6",1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,3,3,3,3,1
"7",1,1,1,1,1,3,3,0,0,0,0,0,0,0,3,3,3,3,1,1
"8",1,1,1,1,1,3,3,0,0,0,0,0,0,3,3,3,3,1,1,1
"9",1,1,1,1,1,3,3,3,0,0,0,0,3,3,3,3,3,1,1,1
"10",1,1,1,1,1,3,3,3,0,0,0,3,3,3,3,3,1,1,1,1
"11",1,1,1,1,1,1,3,3,0,0,3,3,3,3,3,3,1,1,1,1
"12",1,1,1,1,1,3,3,3,0,0,0,3,3,3,3,3,1,1,1,1
"13",1,1,1,1,1,3,3,0,0,0,0,0,3,3,3,3,3,1,1,1
"14",1,1,1,1,1,3,0,0,0,0,0,0,0,3,3,3,3,3,1,1
"15",1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3
"16",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"17",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
