"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,2
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,2
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,1,2
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,2,1,2
"8",0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,2,1,2
"9",0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,1,2,1,2
"10",0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,1,1,2,1,2
"11",0,0,0,0,0,0,0,0,0,4,1,1,1,1,1,1,1,2,1,2
"12",0,0,0,0,0,0,0,0,4,1,1,1,1,1,1,1,1,2,1,2
"13",0,0,0,0,0,0,0,4,1,1,1,1,1,1,1,1,1,2,1,2
"14",0,0,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,2,1,2
"15",0,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,1,2,1,2
"16",0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2
"17",0,0,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2
"18",0,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2
"19",0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2
"20",4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2
